# radius_AU intensity_Jy_per_sr
5.192192192192192124e+01 6.915286031479897158e-09
5.202702702702703164e+01 6.561529264392388400e-09
5.213213213213213493e+01 6.224794637636160544e-09
5.223723723723723822e+01 5.904321838205635627e-09
5.234234234234234151e+01 5.599381430859183935e-09
5.244744744744745191e+01 5.309273759011767331e-09
5.255255255255255520e+01 5.033327877271069219e-09
5.265765765765765849e+01 4.770900515059407755e-09
5.276276276276276178e+01 4.521375070756230554e-09
5.286786786786787218e+01 4.284160635789122711e-09
5.297297297297297547e+01 4.058691048096109089e-09
5.307807807807807876e+01 3.844423974377203590e-09
5.318318318318318205e+01 3.640840020550425520e-09
5.328828828828829245e+01 3.447441869824319344e-09
5.339339339339339574e+01 3.263753447798228315e-09
5.349849849849849903e+01 3.089319114000237795e-09
5.360360360360360232e+01 2.923702879273594960e-09
5.370870870870871272e+01 2.766487648422840475e-09
5.381381381381381601e+01 2.617274487532870072e-09
5.391891891891891930e+01 2.475681915376446408e-09
5.402402402402402970e+01 2.341345218328841416e-09
5.412912912912913299e+01 2.213915788211946747e-09
5.423423423423423628e+01 2.093060482494250512e-09
5.433933933933933957e+01 1.978461006278256718e-09
5.444444444444444997e+01 1.869813315511887239e-09
5.454954954954955326e+01 1.766827040866326352e-09
5.465465465465465655e+01 1.669224931728937545e-09
5.475975975975975985e+01 1.576742319766534343e-09
5.486486486486487024e+01 1.489126601521151188e-09
5.496996996996997353e+01 1.406136739507948325e-09
5.507507507507507682e+01 1.327542781292206587e-09
5.518018018018018012e+01 1.253125396030658414e-09
5.528528528528529051e+01 1.182675427970207143e-09
5.539039039039039380e+01 1.115993466405657192e-09
5.549549549549549710e+01 1.052889431606533037e-09
5.560060060060060039e+01 9.931821762319857929e-10
5.570570570570571078e+01 9.366991017614771896e-10
5.581081081081081408e+01 8.832757894781653931e-10
5.591591591591591737e+01 8.327556455508807442e-10
5.602102102102102066e+01 7.849895597700267288e-10
5.612612612612613106e+01 7.398355775018406812e-10
5.623123123123123435e+01 6.971585844349675061e-10
5.633633633633633764e+01 6.568300037025859416e-10
5.644144144144144093e+01 6.187275049728476345e-10
5.654654654654655133e+01 5.827347251097155506e-10
5.665165165165165462e+01 5.487410000157758001e-10
5.675675675675675791e+01 5.166411072779069769e-10
5.686186186186186120e+01 4.863350192461344136e-10
5.696696696696697160e+01 4.577276661852255033e-10
5.707207207207207489e+01 4.307287091478610351e-10
5.717717717717717818e+01 4.052523222273559219e-10
5.728228228228228147e+01 3.812169838570642438e-10
5.738738738738739187e+01 3.585452768325285990e-10
5.749249249249249516e+01 3.371636967413939340e-10
5.759759759759759845e+01 3.170024684948705148e-10
5.770270270270270174e+01 2.979953706632730240e-10
5.780780780780781214e+01 2.800795673266719698e-10
5.791291291291291543e+01 2.631954471601873982e-10
